Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
489,TERRAS ALTAS,CA830047,BGA 13113,JAPON�S GRANDE,27,25,24,23,22,27
490,TERRAS ALTAS,CA830072,BGA 13138,JAGUARI,24,27,23,26,23,25
491,TERRAS ALTAS,CA830083,BGA 13149,IBRINHA,23,24,,25,23,
492,TERRAS ALTAS,CA830114,BGA 13180,BICO PRETO,26,25,23,26,25,26
493,TERRAS ALTAS,CA830120,BGA 13186,BICO GANGA AMARELO,25,26,23,23,22,27
494,TERRAS ALTAS,CA830122,BGA 13188,MONTANHA,23,23,23,23,24,24
496,TERRAS ALTAS,CA830125,BGA 13191,CANELA CURTA / PIRAN�O,26,24,,26,23,26
502,TERRAS ALTAS,CA840023,BGA 13224,GERGELIM,27,26,,24,23,26
503,TERRAS ALTAS,CA840026,BGA 13227,C�CO,26,23,22,24,24,24
506,TERRAS ALTAS,CA840036,BGA 13237,ESPETO DE FERRO,22,25,23,24,25,26
508,TERRAS ALTAS,CA840045,BGA 13246,ASA,30,28,25,25,,26
516,TERRAS ALTAS,CA840106,BGA 13307,AGULHA,27,26,23,27,,26
518,TERRAS ALTAS,CA840128,BGA 13329,PINGO DE OURO,23,26,23,24,23,26
525,TERRAS ALTAS,CA840182,BGA 13383,CHAT�O,28,25,23,23,26,24
527,TERRAS ALTAS,CA850015,BGA 13402,CHIFRE DE VEADO,22,26,24,26,25,28
528,TERRAS ALTAS,CA850018,BGA 13405,4 MESES BRANCO,28,24,20,24,20,26
529,TERRAS ALTAS,CA850019,BGA 13406,NOVENTINHA,27,25,23,23,22,26
533,TERRAS ALTAS,CA850050,BGA 13437-3,AMAREL�O,24,24,,23,,26
535,TERRAS ALTAS,CA850056,BGA 13443,AMARELO BICO PRETO,25,23,21,22,22,26
536,TERRAS ALTAS,CA850068,BGA 13455,GOIANINHO,30,28,,23,26,25
538,TERRAS ALTAS,CA850079,BGA 13466,MONTANHINHA 90 DIAS,27,26,24,24,22,25
541,TERRAS ALTAS,CA860103,BGA 13574,PRETO,27,25,22,21,22,24
542,TERRAS ALTAS,CA860138,BGA 13609,GUA�RA,26,26,23,24,24,25
543,TERRAS ALTAS,CA870008,BGA 13619,PRATINHA BRANCO,27,25,23,23,24,26
544,TERRAS ALTAS,CA870012,BGA 13623,CARIOQUINHA AMARELO,,24,21,25,23,26
545,TERRAS ALTAS,CA870021,BGA 13632,FERRUJ�O,31,28,25,28,,28
548,TERRAS ALTAS,CA870071,BGA 13682,CARIOCA,26,25,22,24,25,26
550,TERRAS ALTAS,CA870078,BGA 13689,3 MESES BRANCO/3 MESES AMARELO,28,23,22,21,,25
551,TERRAS ALTAS,CA870086,BGA 13697,3 MESES / FERR�O PRETO,29,25,23,25,25,25
555,TERRAS ALTAS,CA870120,BGA 13731,AGULHINHA BRANCO,23,26,,24,23,26
556,TERRAS ALTAS,CA870142,BGA 13753,BICO GANGA,32,27,24,29,,28
